algoritmo,caracteres,bits_datos,bits_trama,overhead_pct,tasa_error,tramas,tramas_con_ruido,entregadas_correctas,descartadas,entregas_erroneas
crc32,4,32,64,100.0,0,100,0,100,0,0
crc32,4,32,64,100.0,0.001,100,6,94,6,0
crc32,4,32,64,100.0,0.002,100,16,84,16,0
crc32,4,32,64,100.0,0.005,100,28,72,28,0
crc32,4,32,64,100.0,0.01,100,51,49,51,0
crc32,4,32,64,100.0,0.02,100,63,37,63,0
crc32,4,32,64,100.0,0.05,100,98,2,98,0
crc32,4,32,64,100.0,0.1,100,100,0,100,0
crc32,8,64,96,50.0,0,100,0,100,0,0
crc32,8,64,96,50.0,0.001,100,11,89,11,0
crc32,8,64,96,50.0,0.002,100,17,83,17,0
crc32,8,64,96,50.0,0.005,100,45,55,45,0
crc32,8,64,96,50.0,0.01,100,61,39,61,0
crc32,8,64,96,50.0,0.02,100,86,14,86,0
crc32,8,64,96,50.0,0.05,100,99,1,99,0
crc32,8,64,96,50.0,0.1,100,100,0,100,0
crc32,16,128,160,25.0,0,100,0,100,0,0
crc32,16,128,160,25.0,0.001,100,13,87,13,0
crc32,16,128,160,25.0,0.002,100,26,74,26,0
crc32,16,128,160,25.0,0.005,100,56,44,56,0
crc32,16,128,160,25.0,0.01,100,78,22,78,0
crc32,16,128,160,25.0,0.02,100,95,5,95,0
crc32,16,128,160,25.0,0.05,100,100,0,100,0
crc32,16,128,160,25.0,0.1,100,100,0,100,0
crc32,32,256,288,12.5,0,100,0,100,0,0
crc32,32,256,288,12.5,0.001,100,23,77,23,0
crc32,32,256,288,12.5,0.002,100,42,58,42,0
crc32,32,256,288,12.5,0.005,100,72,28,72,0
crc32,32,256,288,12.5,0.01,100,95,5,95,0
crc32,32,256,288,12.5,0.02,100,99,1,99,0
crc32,32,256,288,12.5,0.05,100,100,0,100,0
crc32,32,256,288,12.5,0.1,100,100,0,100,0
crc32,64,512,544,6.25,0,100,0,100,0,0
crc32,64,512,544,6.25,0.001,100,51,49,51,0
crc32,64,512,544,6.25,0.002,100,60,40,60,0
crc32,64,512,544,6.25,0.005,100,91,9,91,0
crc32,64,512,544,6.25,0.01,100,100,0,100,0
crc32,64,512,544,6.25,0.02,100,100,0,100,0
crc32,64,512,544,6.25,0.05,100,100,0,100,0
crc32,64,512,544,6.25,0.1,100,100,0,100,0
hamming,4,32,56,75.0,0,100,0,100,0,0
hamming,4,32,56,75.0,0.001,100,7,100,0,0
hamming,4,32,56,75.0,0.002,100,8,100,0,0
hamming,4,32,56,75.0,0.005,100,21,100,0,0
hamming,4,32,56,75.0,0.01,100,37,98,0,2
hamming,4,32,56,75.0,0.02,100,67,96,0,4
hamming,4,32,56,75.0,0.05,100,94,69,0,31
hamming,4,32,56,75.0,0.1,100,100,32,0,68
hamming,8,64,112,75.0,0,100,0,100,0,0
hamming,8,64,112,75.0,0.001,100,10,100,0,0
hamming,8,64,112,75.0,0.002,100,20,100,0,0
hamming,8,64,112,75.0,0.005,100,44,100,0,0
hamming,8,64,112,75.0,0.01,100,70,97,0,3
hamming,8,64,112,75.0,0.02,100,87,90,0,10
hamming,8,64,112,75.0,0.05,100,99,44,0,56
hamming,8,64,112,75.0,0.1,100,100,7,0,93
hamming,16,128,224,75.0,0,100,0,100,0,0
hamming,16,128,224,75.0,0.001,100,23,100,0,0
hamming,16,128,224,75.0,0.002,100,37,100,0,0
hamming,16,128,224,75.0,0.005,100,65,100,0,0
hamming,16,128,224,75.0,0.01,100,90,91,0,9
hamming,16,128,224,75.0,0.02,100,97,77,0,23
hamming,16,128,224,75.0,0.05,100,100,22,0,78
hamming,16,128,224,75.0,0.1,100,100,0,0,100
hamming,32,256,448,75.0,0,100,0,100,0,0
hamming,32,256,448,75.0,0.001,100,39,100,0,0
hamming,32,256,448,75.0,0.002,100,60,100,0,0
hamming,32,256,448,75.0,0.005,100,93,98,0,2
hamming,32,256,448,75.0,0.01,100,100,86,0,14
hamming,32,256,448,75.0,0.02,100,100,65,0,35
hamming,32,256,448,75.0,0.05,100,100,6,0,94
hamming,32,256,448,75.0,0.1,100,100,0,0,100
hamming,64,512,896,75.0,0,100,0,100,0,0
hamming,64,512,896,75.0,0.001,100,60,100,0,0
hamming,64,512,896,75.0,0.002,100,84,99,0,1
hamming,64,512,896,75.0,0.005,100,99,95,0,5
hamming,64,512,896,75.0,0.01,100,100,80,0,20
hamming,64,512,896,75.0,0.02,100,100,44,0,56
hamming,64,512,896,75.0,0.05,100,100,0,0,100
hamming,64,512,896,75.0,0.1,100,100,0,0,100
